,case,ac_mode,region,operation_mode,TS,ua_value,eta_a_value,ua_flg,etaa_flg
0,0,C,6.0,全館連続,1.0,0.4,0.002,True,False
1,1,C,6.0,全館連続,1.0,0.4,0.004,True,True
2,2,C,6.0,全館連続,1.0,0.4,0.006000000000000001,True,True
3,3,C,6.0,全館連続,1.0,0.4,0.008,True,True
4,4,C,6.0,全館連続,1.0,0.4,0.01,True,True
5,5,C,6.0,全館連続,1.0,0.4,0.012,True,True
6,6,C,6.0,全館連続,1.0,0.4,0.014000000000000002,True,True
7,7,C,6.0,全館連続,1.0,0.4,0.016,True,True
8,8,C,6.0,全館連続,1.0,0.4,0.018000000000000002,True,True
9,9,C,6.0,全館連続,1.0,0.4,0.02,True,True
10,10,C,6.0,全館連続,1.0,0.4,0.022000000000000002,True,True
11,11,C,6.0,全館連続,1.0,0.4,0.024000000000000004,True,True
12,12,C,6.0,全館連続,1.0,0.4,0.026000000000000006,True,True
13,13,C,6.0,全館連続,1.0,0.4,0.028000000000000004,True,True
14,14,C,6.0,全館連続,1.0,0.4,0.030000000000000006,True,True
15,15,C,6.0,全館連続,1.0,0.4,0.032,True,True
16,16,C,6.0,全館連続,1.0,0.4,0.034,True,True
17,17,C,6.0,全館連続,1.0,0.4,0.036000000000000004,True,True
18,18,C,6.0,全館連続,1.0,0.4,0.038000000000000006,True,True
19,19,C,6.0,全館連続,1.0,0.4,0.04,True,True
20,20,C,6.0,全館連続,1.0,0.4,0.042,True,True
21,21,C,6.0,全館連続,1.0,0.4,0.044000000000000004,True,True
22,22,C,6.0,全館連続,1.0,0.4,0.046000000000000006,True,True
23,23,C,6.0,全館連続,1.0,0.4,0.04800000000000001,True,True
24,24,C,6.0,全館連続,1.0,0.5,0.002,True,False
25,25,C,6.0,全館連続,1.0,0.5,0.004,True,True
26,26,C,6.0,全館連続,1.0,0.5,0.006000000000000001,True,True
27,27,C,6.0,全館連続,1.0,0.5,0.008,True,True
28,28,C,6.0,全館連続,1.0,0.5,0.01,True,True
29,29,C,6.0,全館連続,1.0,0.5,0.012,True,True
30,30,C,6.0,全館連続,1.0,0.5,0.014000000000000002,True,True
31,31,C,6.0,全館連続,1.0,0.5,0.016,True,True
32,32,C,6.0,全館連続,1.0,0.5,0.018000000000000002,True,True
33,33,C,6.0,全館連続,1.0,0.5,0.02,True,True
34,34,C,6.0,全館連続,1.0,0.5,0.022000000000000002,True,True
35,35,C,6.0,全館連続,1.0,0.5,0.024000000000000004,True,True
36,36,C,6.0,全館連続,1.0,0.5,0.026000000000000006,True,True
37,37,C,6.0,全館連続,1.0,0.5,0.028000000000000004,True,True
38,38,C,6.0,全館連続,1.0,0.5,0.030000000000000006,True,True
39,39,C,6.0,全館連続,1.0,0.5,0.032,True,True
40,40,C,6.0,全館連続,1.0,0.5,0.034,True,True
41,41,C,6.0,全館連続,1.0,0.5,0.036000000000000004,True,True
42,42,C,6.0,全館連続,1.0,0.5,0.038000000000000006,True,True
43,43,C,6.0,全館連続,1.0,0.5,0.04,True,True
44,44,C,6.0,全館連続,1.0,0.5,0.042,True,True
45,45,C,6.0,全館連続,1.0,0.5,0.044000000000000004,True,True
46,46,C,6.0,全館連続,1.0,0.5,0.046000000000000006,True,True
47,47,C,6.0,全館連続,1.0,0.5,0.04800000000000001,True,True
48,48,C,6.0,全館連続,1.0,0.6,0.002,True,False
49,49,C,6.0,全館連続,1.0,0.6,0.004,True,False
50,50,C,6.0,全館連続,1.0,0.6,0.006000000000000001,True,True
51,51,C,6.0,全館連続,1.0,0.6,0.008,True,True
52,52,C,6.0,全館連続,1.0,0.6,0.01,True,True
53,53,C,6.0,全館連続,1.0,0.6,0.012,True,True
54,54,C,6.0,全館連続,1.0,0.6,0.014000000000000002,True,True
55,55,C,6.0,全館連続,1.0,0.6,0.016,True,True
56,56,C,6.0,全館連続,1.0,0.6,0.018000000000000002,True,True
57,57,C,6.0,全館連続,1.0,0.6,0.02,True,True
58,58,C,6.0,全館連続,1.0,0.6,0.022000000000000002,True,True
59,59,C,6.0,全館連続,1.0,0.6,0.024000000000000004,True,True
60,60,C,6.0,全館連続,1.0,0.6,0.026000000000000006,True,True
61,61,C,6.0,全館連続,1.0,0.6,0.028000000000000004,True,True
62,62,C,6.0,全館連続,1.0,0.6,0.030000000000000006,True,True
63,63,C,6.0,全館連続,1.0,0.6,0.032,True,True
64,64,C,6.0,全館連続,1.0,0.6,0.034,True,True
65,65,C,6.0,全館連続,1.0,0.6,0.036000000000000004,True,True
66,66,C,6.0,全館連続,1.0,0.6,0.038000000000000006,True,True
67,67,C,6.0,全館連続,1.0,0.6,0.04,True,True
68,68,C,6.0,全館連続,1.0,0.6,0.042,True,True
69,69,C,6.0,全館連続,1.0,0.6,0.044000000000000004,True,True
70,70,C,6.0,全館連続,1.0,0.6,0.046000000000000006,True,True
71,71,C,6.0,全館連続,1.0,0.6,0.04800000000000001,True,True
72,72,C,6.0,全館連続,1.0,0.7,0.002,True,False
73,73,C,6.0,全館連続,1.0,0.7,0.004,True,False
74,74,C,6.0,全館連続,1.0,0.7,0.006000000000000001,True,True
75,75,C,6.0,全館連続,1.0,0.7,0.008,True,True
76,76,C,6.0,全館連続,1.0,0.7,0.01,True,True
77,77,C,6.0,全館連続,1.0,0.7,0.012,True,True
78,78,C,6.0,全館連続,1.0,0.7,0.014000000000000002,True,True
79,79,C,6.0,全館連続,1.0,0.7,0.016,True,True
80,80,C,6.0,全館連続,1.0,0.7,0.018000000000000002,True,True
81,81,C,6.0,全館連続,1.0,0.7,0.02,True,True
82,82,C,6.0,全館連続,1.0,0.7,0.022000000000000002,True,True
83,83,C,6.0,全館連続,1.0,0.7,0.024000000000000004,True,True
84,84,C,6.0,全館連続,1.0,0.7,0.026000000000000006,True,True
85,85,C,6.0,全館連続,1.0,0.7,0.028000000000000004,True,True
86,86,C,6.0,全館連続,1.0,0.7,0.030000000000000006,True,True
87,87,C,6.0,全館連続,1.0,0.7,0.032,True,True
88,88,C,6.0,全館連続,1.0,0.7,0.034,True,True
89,89,C,6.0,全館連続,1.0,0.7,0.036000000000000004,True,True
90,90,C,6.0,全館連続,1.0,0.7,0.038000000000000006,True,True
91,91,C,6.0,全館連続,1.0,0.7,0.04,True,True
92,92,C,6.0,全館連続,1.0,0.7,0.042,True,True
93,93,C,6.0,全館連続,1.0,0.7,0.044000000000000004,True,True
94,94,C,6.0,全館連続,1.0,0.7,0.046000000000000006,True,True
95,95,C,6.0,全館連続,1.0,0.7,0.04800000000000001,True,True
96,96,C,6.0,全館連続,1.0,0.7999999999999999,0.002,True,False
97,97,C,6.0,全館連続,1.0,0.7999999999999999,0.004,True,False
98,98,C,6.0,全館連続,1.0,0.7999999999999999,0.006000000000000001,True,True
99,99,C,6.0,全館連続,1.0,0.7999999999999999,0.008,True,True
100,100,C,6.0,全館連続,1.0,0.7999999999999999,0.01,True,True
101,101,C,6.0,全館連続,1.0,0.7999999999999999,0.012,True,True
102,102,C,6.0,全館連続,1.0,0.7999999999999999,0.014000000000000002,True,True
103,103,C,6.0,全館連続,1.0,0.7999999999999999,0.016,True,True
104,104,C,6.0,全館連続,1.0,0.7999999999999999,0.018000000000000002,True,True
105,105,C,6.0,全館連続,1.0,0.7999999999999999,0.02,True,True
106,106,C,6.0,全館連続,1.0,0.7999999999999999,0.022000000000000002,True,True
107,107,C,6.0,全館連続,1.0,0.7999999999999999,0.024000000000000004,True,True
108,108,C,6.0,全館連続,1.0,0.7999999999999999,0.026000000000000006,True,True
109,109,C,6.0,全館連続,1.0,0.7999999999999999,0.028000000000000004,True,True
110,110,C,6.0,全館連続,1.0,0.7999999999999999,0.030000000000000006,True,True
111,111,C,6.0,全館連続,1.0,0.7999999999999999,0.032,True,True
112,112,C,6.0,全館連続,1.0,0.7999999999999999,0.034,True,True
113,113,C,6.0,全館連続,1.0,0.7999999999999999,0.036000000000000004,True,True
114,114,C,6.0,全館連続,1.0,0.7999999999999999,0.038000000000000006,True,True
115,115,C,6.0,全館連続,1.0,0.7999999999999999,0.04,True,True
116,116,C,6.0,全館連続,1.0,0.7999999999999999,0.042,True,True
117,117,C,6.0,全館連続,1.0,0.7999999999999999,0.044000000000000004,True,True
118,118,C,6.0,全館連続,1.0,0.7999999999999999,0.046000000000000006,True,True
119,119,C,6.0,全館連続,1.0,0.7999999999999999,0.04800000000000001,True,True
120,120,C,6.0,全館連続,1.0,0.8999999999999999,0.002,True,False
121,121,C,6.0,全館連続,1.0,0.8999999999999999,0.004,True,False
122,122,C,6.0,全館連続,1.0,0.8999999999999999,0.006000000000000001,True,False
123,123,C,6.0,全館連続,1.0,0.8999999999999999,0.008,True,True
124,124,C,6.0,全館連続,1.0,0.8999999999999999,0.01,True,True
125,125,C,6.0,全館連続,1.0,0.8999999999999999,0.012,True,True
126,126,C,6.0,全館連続,1.0,0.8999999999999999,0.014000000000000002,True,True
127,127,C,6.0,全館連続,1.0,0.8999999999999999,0.016,True,True
128,128,C,6.0,全館連続,1.0,0.8999999999999999,0.018000000000000002,True,True
129,129,C,6.0,全館連続,1.0,0.8999999999999999,0.02,True,True
130,130,C,6.0,全館連続,1.0,0.8999999999999999,0.022000000000000002,True,True
131,131,C,6.0,全館連続,1.0,0.8999999999999999,0.024000000000000004,True,True
132,132,C,6.0,全館連続,1.0,0.8999999999999999,0.026000000000000006,True,True
133,133,C,6.0,全館連続,1.0,0.8999999999999999,0.028000000000000004,True,True
134,134,C,6.0,全館連続,1.0,0.8999999999999999,0.030000000000000006,True,True
135,135,C,6.0,全館連続,1.0,0.8999999999999999,0.032,True,True
136,136,C,6.0,全館連続,1.0,0.8999999999999999,0.034,True,True
137,137,C,6.0,全館連続,1.0,0.8999999999999999,0.036000000000000004,True,True
138,138,C,6.0,全館連続,1.0,0.8999999999999999,0.038000000000000006,True,True
139,139,C,6.0,全館連続,1.0,0.8999999999999999,0.04,True,True
140,140,C,6.0,全館連続,1.0,0.8999999999999999,0.042,True,True
141,141,C,6.0,全館連続,1.0,0.8999999999999999,0.044000000000000004,True,True
142,142,C,6.0,全館連続,1.0,0.8999999999999999,0.046000000000000006,False,True
143,143,C,6.0,全館連続,1.0,0.8999999999999999,0.04800000000000001,True,True
144,144,C,6.0,居室間歇,1.0,0.4,0.002,True,False
145,145,C,6.0,居室間歇,1.0,0.4,0.004,True,True
146,146,C,6.0,居室間歇,1.0,0.4,0.006000000000000001,True,True
147,147,C,6.0,居室間歇,1.0,0.4,0.008,True,True
148,148,C,6.0,居室間歇,1.0,0.4,0.01,True,True
149,149,C,6.0,居室間歇,1.0,0.4,0.012,True,True
150,150,C,6.0,居室間歇,1.0,0.4,0.014000000000000002,True,True
151,151,C,6.0,居室間歇,1.0,0.4,0.016,True,True
152,152,C,6.0,居室間歇,1.0,0.4,0.018000000000000002,True,True
153,153,C,6.0,居室間歇,1.0,0.4,0.02,True,True
154,154,C,6.0,居室間歇,1.0,0.4,0.022000000000000002,True,True
155,155,C,6.0,居室間歇,1.0,0.4,0.024000000000000004,True,True
156,156,C,6.0,居室間歇,1.0,0.4,0.026000000000000006,True,True
157,157,C,6.0,居室間歇,1.0,0.4,0.028000000000000004,True,True
158,158,C,6.0,居室間歇,1.0,0.4,0.030000000000000006,True,True
159,159,C,6.0,居室間歇,1.0,0.4,0.032,True,True
160,160,C,6.0,居室間歇,1.0,0.4,0.034,True,True
161,161,C,6.0,居室間歇,1.0,0.4,0.036000000000000004,True,True
162,162,C,6.0,居室間歇,1.0,0.4,0.038000000000000006,True,True
163,163,C,6.0,居室間歇,1.0,0.4,0.04,True,True
164,164,C,6.0,居室間歇,1.0,0.4,0.042,True,True
165,165,C,6.0,居室間歇,1.0,0.4,0.044000000000000004,True,True
166,166,C,6.0,居室間歇,1.0,0.4,0.046000000000000006,True,True
167,167,C,6.0,居室間歇,1.0,0.4,0.04800000000000001,True,True
168,168,C,6.0,居室間歇,1.0,0.5,0.002,True,False
169,169,C,6.0,居室間歇,1.0,0.5,0.004,True,True
170,170,C,6.0,居室間歇,1.0,0.5,0.006000000000000001,True,True
171,171,C,6.0,居室間歇,1.0,0.5,0.008,True,True
172,172,C,6.0,居室間歇,1.0,0.5,0.01,True,True
173,173,C,6.0,居室間歇,1.0,0.5,0.012,True,True
174,174,C,6.0,居室間歇,1.0,0.5,0.014000000000000002,True,True
175,175,C,6.0,居室間歇,1.0,0.5,0.016,True,True
176,176,C,6.0,居室間歇,1.0,0.5,0.018000000000000002,True,True
177,177,C,6.0,居室間歇,1.0,0.5,0.02,True,True
178,178,C,6.0,居室間歇,1.0,0.5,0.022000000000000002,True,True
179,179,C,6.0,居室間歇,1.0,0.5,0.024000000000000004,True,True
180,180,C,6.0,居室間歇,1.0,0.5,0.026000000000000006,True,True
181,181,C,6.0,居室間歇,1.0,0.5,0.028000000000000004,True,True
182,182,C,6.0,居室間歇,1.0,0.5,0.030000000000000006,True,True
183,183,C,6.0,居室間歇,1.0,0.5,0.032,True,True
184,184,C,6.0,居室間歇,1.0,0.5,0.034,True,True
185,185,C,6.0,居室間歇,1.0,0.5,0.036000000000000004,True,True
186,186,C,6.0,居室間歇,1.0,0.5,0.038000000000000006,True,True
187,187,C,6.0,居室間歇,1.0,0.5,0.04,True,True
188,188,C,6.0,居室間歇,1.0,0.5,0.042,True,True
189,189,C,6.0,居室間歇,1.0,0.5,0.044000000000000004,True,True
190,190,C,6.0,居室間歇,1.0,0.5,0.046000000000000006,True,True
191,191,C,6.0,居室間歇,1.0,0.5,0.04800000000000001,True,True
192,192,C,6.0,居室間歇,1.0,0.6,0.002,True,False
193,193,C,6.0,居室間歇,1.0,0.6,0.004,True,False
194,194,C,6.0,居室間歇,1.0,0.6,0.006000000000000001,True,True
195,195,C,6.0,居室間歇,1.0,0.6,0.008,True,True
196,196,C,6.0,居室間歇,1.0,0.6,0.01,True,True
197,197,C,6.0,居室間歇,1.0,0.6,0.012,True,True
198,198,C,6.0,居室間歇,1.0,0.6,0.014000000000000002,True,True
199,199,C,6.0,居室間歇,1.0,0.6,0.016,True,True
200,200,C,6.0,居室間歇,1.0,0.6,0.018000000000000002,True,True
201,201,C,6.0,居室間歇,1.0,0.6,0.02,True,True
202,202,C,6.0,居室間歇,1.0,0.6,0.022000000000000002,True,True
203,203,C,6.0,居室間歇,1.0,0.6,0.024000000000000004,True,True
204,204,C,6.0,居室間歇,1.0,0.6,0.026000000000000006,True,True
205,205,C,6.0,居室間歇,1.0,0.6,0.028000000000000004,True,True
206,206,C,6.0,居室間歇,1.0,0.6,0.030000000000000006,True,True
207,207,C,6.0,居室間歇,1.0,0.6,0.032,True,True
208,208,C,6.0,居室間歇,1.0,0.6,0.034,True,True
209,209,C,6.0,居室間歇,1.0,0.6,0.036000000000000004,True,True
210,210,C,6.0,居室間歇,1.0,0.6,0.038000000000000006,True,True
211,211,C,6.0,居室間歇,1.0,0.6,0.04,True,True
212,212,C,6.0,居室間歇,1.0,0.6,0.042,True,True
213,213,C,6.0,居室間歇,1.0,0.6,0.044000000000000004,True,True
214,214,C,6.0,居室間歇,1.0,0.6,0.046000000000000006,True,True
215,215,C,6.0,居室間歇,1.0,0.6,0.04800000000000001,True,True
216,216,C,6.0,居室間歇,1.0,0.7,0.002,True,False
217,217,C,6.0,居室間歇,1.0,0.7,0.004,True,False
218,218,C,6.0,居室間歇,1.0,0.7,0.006000000000000001,True,True
219,219,C,6.0,居室間歇,1.0,0.7,0.008,True,True
220,220,C,6.0,居室間歇,1.0,0.7,0.01,True,True
221,221,C,6.0,居室間歇,1.0,0.7,0.012,True,True
222,222,C,6.0,居室間歇,1.0,0.7,0.014000000000000002,True,True
223,223,C,6.0,居室間歇,1.0,0.7,0.016,True,True
224,224,C,6.0,居室間歇,1.0,0.7,0.018000000000000002,True,True
225,225,C,6.0,居室間歇,1.0,0.7,0.02,True,True
226,226,C,6.0,居室間歇,1.0,0.7,0.022000000000000002,True,True
227,227,C,6.0,居室間歇,1.0,0.7,0.024000000000000004,True,True
228,228,C,6.0,居室間歇,1.0,0.7,0.026000000000000006,True,True
229,229,C,6.0,居室間歇,1.0,0.7,0.028000000000000004,True,True
230,230,C,6.0,居室間歇,1.0,0.7,0.030000000000000006,True,True
231,231,C,6.0,居室間歇,1.0,0.7,0.032,True,True
232,232,C,6.0,居室間歇,1.0,0.7,0.034,True,True
233,233,C,6.0,居室間歇,1.0,0.7,0.036000000000000004,True,True
234,234,C,6.0,居室間歇,1.0,0.7,0.038000000000000006,True,True
235,235,C,6.0,居室間歇,1.0,0.7,0.04,True,True
236,236,C,6.0,居室間歇,1.0,0.7,0.042,True,True
237,237,C,6.0,居室間歇,1.0,0.7,0.044000000000000004,True,True
238,238,C,6.0,居室間歇,1.0,0.7,0.046000000000000006,True,True
239,239,C,6.0,居室間歇,1.0,0.7,0.04800000000000001,True,True
240,240,C,6.0,居室間歇,1.0,0.7999999999999999,0.002,True,False
241,241,C,6.0,居室間歇,1.0,0.7999999999999999,0.004,True,False
242,242,C,6.0,居室間歇,1.0,0.7999999999999999,0.006000000000000001,True,True
243,243,C,6.0,居室間歇,1.0,0.7999999999999999,0.008,True,True
244,244,C,6.0,居室間歇,1.0,0.7999999999999999,0.01,True,True
245,245,C,6.0,居室間歇,1.0,0.7999999999999999,0.012,True,True
246,246,C,6.0,居室間歇,1.0,0.7999999999999999,0.014000000000000002,True,True
247,247,C,6.0,居室間歇,1.0,0.7999999999999999,0.016,True,True
248,248,C,6.0,居室間歇,1.0,0.7999999999999999,0.018000000000000002,True,True
249,249,C,6.0,居室間歇,1.0,0.7999999999999999,0.02,True,True
250,250,C,6.0,居室間歇,1.0,0.7999999999999999,0.022000000000000002,True,True
251,251,C,6.0,居室間歇,1.0,0.7999999999999999,0.024000000000000004,True,True
252,252,C,6.0,居室間歇,1.0,0.7999999999999999,0.026000000000000006,True,True
253,253,C,6.0,居室間歇,1.0,0.7999999999999999,0.028000000000000004,True,True
254,254,C,6.0,居室間歇,1.0,0.7999999999999999,0.030000000000000006,True,True
255,255,C,6.0,居室間歇,1.0,0.7999999999999999,0.032,True,True
256,256,C,6.0,居室間歇,1.0,0.7999999999999999,0.034,True,True
257,257,C,6.0,居室間歇,1.0,0.7999999999999999,0.036000000000000004,True,True
258,258,C,6.0,居室間歇,1.0,0.7999999999999999,0.038000000000000006,True,True
259,259,C,6.0,居室間歇,1.0,0.7999999999999999,0.04,True,True
260,260,C,6.0,居室間歇,1.0,0.7999999999999999,0.042,True,True
261,261,C,6.0,居室間歇,1.0,0.7999999999999999,0.044000000000000004,True,True
262,262,C,6.0,居室間歇,1.0,0.7999999999999999,0.046000000000000006,True,True
263,263,C,6.0,居室間歇,1.0,0.7999999999999999,0.04800000000000001,True,True
264,264,C,6.0,居室間歇,1.0,0.8999999999999999,0.002,True,False
265,265,C,6.0,居室間歇,1.0,0.8999999999999999,0.004,True,False
266,266,C,6.0,居室間歇,1.0,0.8999999999999999,0.006000000000000001,True,False
267,267,C,6.0,居室間歇,1.0,0.8999999999999999,0.008,True,True
268,268,C,6.0,居室間歇,1.0,0.8999999999999999,0.01,True,True
269,269,C,6.0,居室間歇,1.0,0.8999999999999999,0.012,True,True
270,270,C,6.0,居室間歇,1.0,0.8999999999999999,0.014000000000000002,True,True
271,271,C,6.0,居室間歇,1.0,0.8999999999999999,0.016,True,True
272,272,C,6.0,居室間歇,1.0,0.8999999999999999,0.018000000000000002,True,True
273,273,C,6.0,居室間歇,1.0,0.8999999999999999,0.02,True,True
274,274,C,6.0,居室間歇,1.0,0.8999999999999999,0.022000000000000002,True,True
275,275,C,6.0,居室間歇,1.0,0.8999999999999999,0.024000000000000004,True,True
276,276,C,6.0,居室間歇,1.0,0.8999999999999999,0.026000000000000006,True,True
277,277,C,6.0,居室間歇,1.0,0.8999999999999999,0.028000000000000004,True,True
278,278,C,6.0,居室間歇,1.0,0.8999999999999999,0.030000000000000006,True,True
279,279,C,6.0,居室間歇,1.0,0.8999999999999999,0.032,True,True
280,280,C,6.0,居室間歇,1.0,0.8999999999999999,0.034,True,True
281,281,C,6.0,居室間歇,1.0,0.8999999999999999,0.036000000000000004,True,True
282,282,C,6.0,居室間歇,1.0,0.8999999999999999,0.038000000000000006,True,True
283,283,C,6.0,居室間歇,1.0,0.8999999999999999,0.04,True,True
284,284,C,6.0,居室間歇,1.0,0.8999999999999999,0.042,True,True
285,285,C,6.0,居室間歇,1.0,0.8999999999999999,0.044000000000000004,True,True
286,286,C,6.0,居室間歇,1.0,0.8999999999999999,0.046000000000000006,False,True
287,287,C,6.0,居室間歇,1.0,0.8999999999999999,0.04800000000000001,True,True
288,288,H,6.0,全館連続,1.0,0.4,0.002,True,False
